2026-03-28 12:54 | $66,405.25
2026-03-28 13:00 | $66,415.84  (+$10.59)
2026-03-28 13:04 | $66,417.09  (+$1.25)
2026-03-28 13:09 | $66,408.89  ($-8.20)
2026-03-28 13:14 | $66,466.53  (+$57.65)
2026-03-28 13:19 | $66,440.89  ($-25.64)
2026-03-28 13:24 | $66,414.81  ($-26.08)
2026-03-28 13:30 | $66,395.78  ($-19.04)
2026-03-28 13:34 | $66,580.67  (+$184.90)
2026-03-28 13:39 | $66,626.84  (+$46.16)
2026-03-28 13:44 | $66,935.68  (+$308.84)
2026-03-28 13:49 | $66,901.31  ($-34.37)

CURRENT PRICE: $66,825.97 at 2026-03-28 13:54
