2026-03-28 14:24 | $66,782.18
2026-03-28 14:29 | $66,771.75  ($-10.44)
2026-03-28 14:34 | $66,767.21  ($-4.54)
2026-03-28 14:39 | $66,714.66  ($-52.55)
2026-03-28 14:44 | $66,837.08  (+$122.42)
2026-03-28 14:49 | $66,861.77  (+$24.70)
2026-03-28 14:54 | $66,765.87  ($-95.91)
2026-03-28 15:00 | $66,707.15  ($-58.71)
2026-03-28 15:04 | $66,717.85  (+$10.70)
2026-03-28 15:09 | $66,739.58  (+$21.73)
2026-03-28 15:14 | $66,832.21  (+$92.63)
2026-03-28 15:19 | $67,002.64  (+$170.43)

CURRENT PRICE: $67,185.75 at 2026-03-28 15:24
