2026-03-28 18:44 | $66,880.20
2026-03-28 18:49 | $66,866.61  ($-13.60)
2026-03-28 18:54 | $66,861.81  ($-4.80)
2026-03-28 19:00 | $66,879.95  (+$18.14)
2026-03-28 19:04 | $66,891.80  (+$11.85)
2026-03-28 19:09 | $66,887.23  ($-4.58)
2026-03-28 19:14 | $66,791.98  ($-95.24)
2026-03-28 19:19 | $66,793.50  (+$1.52)
2026-03-28 19:24 | $66,803.25  (+$9.75)
2026-03-28 19:29 | $66,803.81  (+$0.56)
2026-03-28 19:34 | $66,822.20  (+$18.40)
2026-03-28 19:39 | $66,822.07  ($-0.13)

CURRENT PRICE: $66,809.12 at 2026-03-28 19:44
