2026-03-28 15:39 | $67,037.60
2026-03-28 15:44 | $66,995.05  ($-42.55)
2026-03-28 15:49 | $66,981.40  ($-13.65)
2026-03-28 15:54 | $66,940.90  ($-40.50)
2026-03-28 15:59 | $66,946.64  (+$5.74)
2026-03-28 16:04 | $66,904.96  ($-41.68)
2026-03-28 16:09 | $67,026.24  (+$121.28)
2026-03-28 16:14 | $66,988.34  ($-37.90)
2026-03-28 16:19 | $67,019.68  (+$31.34)
2026-03-28 16:24 | $67,027.09  (+$7.41)
2026-03-28 16:29 | $67,035.47  (+$8.38)
2026-03-28 16:34 | $66,968.20  ($-67.27)

CURRENT PRICE: $66,923.83 at 2026-03-28 16:39
