2026-03-28 16:49 | $66,858.26
2026-03-28 16:54 | $66,823.81  ($-34.44)
2026-03-28 16:59 | $66,874.78  (+$50.96)
2026-03-28 17:04 | $66,911.63  (+$36.85)
2026-03-28 17:09 | $66,871.15  ($-40.48)
2026-03-28 17:14 | $66,863.71  ($-7.44)
2026-03-28 17:20 | $66,825.55  ($-38.16)
2026-03-28 17:24 | $66,805.24  ($-20.31)
2026-03-28 17:29 | $66,755.12  ($-50.12)
2026-03-28 17:34 | $66,714.61  ($-40.52)
2026-03-28 17:39 | $66,817.04  (+$102.43)
2026-03-28 17:44 | $66,795.57  ($-21.47)

CURRENT PRICE: $66,774.29 at 2026-03-28 17:49
