2026-03-28 05:54 | $66,314.53
2026-03-28 05:59 | $66,307.10  ($-7.43)
2026-03-28 06:04 | $66,267.64  ($-39.45)
2026-03-28 06:09 | $66,319.18  (+$51.53)
2026-03-28 06:14 | $66,301.55  ($-17.63)
2026-03-28 06:19 | $66,422.41  (+$120.86)
2026-03-28 06:24 | $66,391.71  ($-30.70)
2026-03-28 06:29 | $66,413.34  (+$21.63)
2026-03-28 06:34 | $66,405.71  ($-7.63)
2026-03-28 06:39 | $66,397.61  ($-8.09)
2026-03-28 06:44 | $66,407.25  (+$9.64)
2026-03-28 06:49 | $66,364.17  ($-43.08)

CURRENT PRICE: $66,339.91 at 2026-03-28 06:54
