You are a quantitative analyst backtesting BTC 5-minute price predictions on HISTORICAL data. This is purely academic research. DO NOT use any tools - all data is provided below.

Below are 10 windows of real BTC price history (12 candles each, 5-min intervals). For each window, predict if the price goes UP or DOWN in the next 5 minutes after the CURRENT PRICE.

For EACH window, briefly analyze trend, momentum, and the last few candles, then predict.

DATA:

=== WINDOW 170 ===
2026-03-28 12:34 | $66,341.87
2026-03-28 12:39 | $66,308.66  ($-33.21)
2026-03-28 12:44 | $66,325.05  (+$16.40)
2026-03-28 12:49 | $66,331.62  (+$6.57)
2026-03-28 12:54 | $66,405.25  (+$73.63)
2026-03-28 13:00 | $66,415.84  (+$10.59)
2026-03-28 13:04 | $66,417.09  (+$1.25)
2026-03-28 13:09 | $66,408.89  ($-8.20)
2026-03-28 13:14 | $66,466.53  (+$57.65)
2026-03-28 13:19 | $66,440.89  ($-25.64)
2026-03-28 13:24 | $66,414.81  ($-26.08)
2026-03-28 13:30 | $66,395.78  ($-19.04)

CURRENT PRICE: $66,580.67 at 2026-03-28 13:34

=== WINDOW 171 ===
2026-03-28 12:39 | $66,308.66
2026-03-28 12:44 | $66,325.05  (+$16.40)
2026-03-28 12:49 | $66,331.62  (+$6.57)
2026-03-28 12:54 | $66,405.25  (+$73.63)
2026-03-28 13:00 | $66,415.84  (+$10.59)
2026-03-28 13:04 | $66,417.09  (+$1.25)
2026-03-28 13:09 | $66,408.89  ($-8.20)
2026-03-28 13:14 | $66,466.53  (+$57.65)
2026-03-28 13:19 | $66,440.89  ($-25.64)
2026-03-28 13:24 | $66,414.81  ($-26.08)
2026-03-28 13:30 | $66,395.78  ($-19.04)
2026-03-28 13:34 | $66,580.67  (+$184.90)

CURRENT PRICE: $66,626.84 at 2026-03-28 13:39

=== WINDOW 172 ===
2026-03-28 12:44 | $66,325.05
2026-03-28 12:49 | $66,331.62  (+$6.57)
2026-03-28 12:54 | $66,405.25  (+$73.63)
2026-03-28 13:00 | $66,415.84  (+$10.59)
2026-03-28 13:04 | $66,417.09  (+$1.25)
2026-03-28 13:09 | $66,408.89  ($-8.20)
2026-03-28 13:14 | $66,466.53  (+$57.65)
2026-03-28 13:19 | $66,440.89  ($-25.64)
2026-03-28 13:24 | $66,414.81  ($-26.08)
2026-03-28 13:30 | $66,395.78  ($-19.04)
2026-03-28 13:34 | $66,580.67  (+$184.90)
2026-03-28 13:39 | $66,626.84  (+$46.16)

CURRENT PRICE: $66,935.68 at 2026-03-28 13:44
