Time             | Price
2026-03-28 19:39 | $66,822.07
2026-03-28 19:44 | $66,809.12  ($-12.95)
2026-03-28 19:49 | $66,818.44  (+$9.32)
2026-03-28 19:54 | $66,810.23  ($-8.21)
2026-03-28 20:00 | $66,851.14  (+$40.91)
2026-03-28 20:04 | $66,932.19  (+$81.05)
2026-03-28 20:09 | $66,942.06  (+$9.87)
2026-03-28 20:14 | $66,933.36  ($-8.70)
2026-03-28 20:19 | $66,951.20  (+$17.84)
2026-03-28 20:24 | $66,898.27  ($-52.93)
2026-03-28 20:30 | $66,865.50  ($-32.77)
2026-03-28 20:34 | $66,908.95  (+$43.45)

CURRENT PRICE: $66,923.60 at 2026-03-28 20:39
