Time             | Price
2026-03-28 07:09 | $66,367.76
2026-03-28 07:14 | $66,382.41  (+$14.65)
2026-03-28 07:19 | $66,422.41  (+$40.00)
2026-03-28 07:24 | $66,422.42  (+$0.01)
2026-03-28 07:30 | $66,409.33  ($-13.09)
2026-03-28 07:34 | $66,396.95  ($-12.38)
2026-03-28 07:39 | $66,397.22  (+$0.27)
2026-03-28 07:44 | $66,404.80  (+$7.58)
2026-03-28 07:49 | $66,425.58  (+$20.78)
2026-03-28 07:54 | $66,440.76  (+$15.18)
2026-03-28 07:59 | $66,516.27  (+$75.51)
2026-03-28 08:04 | $66,479.66  ($-36.61)

CURRENT PRICE: $66,467.58 at 2026-03-28 08:09
