Time             | Price
2026-03-27 23:39 | $66,183.10
2026-03-27 23:44 | $66,220.00  (+$36.90)
2026-03-27 23:49 | $66,313.34  (+$93.34)
2026-03-27 23:54 | $66,321.02  (+$7.68)
2026-03-28 00:00 | $66,327.67  (+$6.65)
2026-03-28 00:04 | $66,384.34  (+$56.67)
2026-03-28 00:09 | $66,396.18  (+$11.84)
2026-03-28 00:14 | $66,259.87  ($-136.31)
2026-03-28 00:19 | $66,320.32  (+$60.45)
2026-03-28 00:24 | $66,314.19  ($-6.13)
2026-03-28 00:29 | $66,303.94  ($-10.25)
2026-03-28 00:34 | $66,402.62  (+$98.68)

CURRENT PRICE: $66,446.93 at 2026-03-28 00:39
