Time             | Price
2026-03-28 02:09 | $66,165.35
2026-03-28 02:14 | $66,184.03  (+$18.68)
2026-03-28 02:19 | $66,017.55  ($-166.48)
2026-03-28 02:24 | $66,025.18  (+$7.63)
2026-03-28 02:29 | $66,004.33  ($-20.85)
2026-03-28 02:34 | $65,969.66  ($-34.67)
2026-03-28 02:39 | $65,958.55  ($-11.11)
2026-03-28 02:44 | $65,986.59  (+$28.04)
2026-03-28 02:49 | $65,964.50  ($-22.09)
2026-03-28 02:54 | $66,012.51  (+$48.01)
2026-03-28 03:00 | $65,995.97  ($-16.54)
2026-03-28 03:04 | $66,055.13  (+$59.16)

CURRENT PRICE: $66,078.63 at 2026-03-28 03:09
