Time             | Price
2026-03-28 03:04 | $66,055.13
2026-03-28 03:09 | $66,078.63  (+$23.50)
2026-03-28 03:14 | $66,089.93  (+$11.30)
2026-03-28 03:19 | $66,121.28  (+$31.35)
2026-03-28 03:24 | $66,123.20  (+$1.92)
2026-03-28 03:29 | $66,106.66  ($-16.54)
2026-03-28 03:34 | $66,116.69  (+$10.03)
2026-03-28 03:39 | $66,174.75  (+$58.06)
2026-03-28 03:44 | $66,179.75  (+$5.00)
2026-03-28 03:49 | $66,162.22  ($-17.53)
2026-03-28 03:54 | $66,168.28  (+$6.06)
2026-03-28 03:59 | $66,167.61  ($-0.67)

CURRENT PRICE: $66,167.65 at 2026-03-28 04:04
