Time             | Price
2026-03-28 13:00 | $66,415.84
2026-03-28 13:04 | $66,417.09  (+$1.25)
2026-03-28 13:09 | $66,408.89  ($-8.20)
2026-03-28 13:14 | $66,466.53  (+$57.64)
2026-03-28 13:19 | $66,440.89  ($-25.64)
2026-03-28 13:24 | $66,414.81  ($-26.08)
2026-03-28 13:30 | $66,395.78  ($-19.03)
2026-03-28 13:34 | $66,580.67  (+$184.89)
2026-03-28 13:39 | $66,626.84  (+$46.17)
2026-03-28 13:44 | $66,935.68  (+$308.84)
2026-03-28 13:49 | $66,901.31  ($-34.37)
2026-03-28 13:54 | $66,825.97  ($-75.34)

CURRENT PRICE: $66,770.26 at 2026-03-28 13:59
