Time             | Price
2026-03-28 13:49 | $66,901.31
2026-03-28 13:54 | $66,825.97  ($-75.34)
2026-03-28 13:59 | $66,770.26  ($-55.71)
2026-03-28 14:04 | $66,743.30  ($-26.96)
2026-03-28 14:09 | $66,780.61  (+$37.31)
2026-03-28 14:14 | $66,729.04  ($-51.57)
2026-03-28 14:19 | $66,733.01  (+$3.97)
2026-03-28 14:24 | $66,782.18  (+$49.17)
2026-03-28 14:29 | $66,771.75  ($-10.43)
2026-03-28 14:34 | $66,767.21  ($-4.54)
2026-03-28 14:39 | $66,714.66  ($-52.55)
2026-03-28 14:44 | $66,837.08  (+$122.42)

CURRENT PRICE: $66,861.77 at 2026-03-28 14:49
