Time             | Price
2026-03-27 22:24 | $65,959.50
2026-03-27 22:29 | $65,915.10  ($-44.40)
2026-03-27 22:34 | $65,975.69  (+$60.59)
2026-03-27 22:39 | $65,884.75  ($-90.94)
2026-03-27 22:44 | $65,974.97  (+$90.22)
2026-03-27 22:49 | $65,987.76  (+$12.79)
2026-03-27 22:54 | $65,982.20  ($-5.56)
2026-03-27 23:00 | $65,981.97  ($-0.23)
2026-03-27 23:04 | $65,961.58  ($-20.39)
2026-03-27 23:09 | $65,930.70  ($-30.88)
2026-03-27 23:14 | $66,027.61  (+$96.91)
2026-03-27 23:19 | $66,049.04  (+$21.43)

CURRENT PRICE: $66,110.95 at 2026-03-27 23:24
