Time             | Price
2026-03-28 04:29 | $66,210.62
2026-03-28 04:34 | $66,241.84  (+$31.22)
2026-03-28 04:39 | $66,231.26  ($-10.58)
2026-03-28 04:44 | $66,209.20  ($-22.06)
2026-03-28 04:49 | $66,235.27  (+$26.07)
2026-03-28 04:54 | $66,241.08  (+$5.81)
2026-03-28 04:59 | $66,189.66  ($-51.42)
2026-03-28 05:04 | $66,206.18  (+$16.52)
2026-03-28 05:09 | $66,202.39  ($-3.79)
2026-03-28 05:14 | $66,193.84  ($-8.55)
2026-03-28 05:19 | $66,206.51  (+$12.67)
2026-03-28 05:24 | $66,275.95  (+$69.44)

CURRENT PRICE: $66,305.57 at 2026-03-28 05:29
