Time             | Price
2026-03-28 00:44 | $66,391.33
2026-03-28 00:49 | $66,416.97  (+$25.64)
2026-03-28 00:54 | $66,380.36  ($-36.61)
2026-03-28 00:59 | $66,382.83  (+$2.47)
2026-03-28 01:04 | $66,315.38  ($-67.45)
2026-03-28 01:09 | $66,271.31  ($-44.07)
2026-03-28 01:14 | $66,115.52  ($-155.79)
2026-03-28 01:19 | $66,184.06  (+$68.54)
2026-03-28 01:24 | $66,216.26  (+$32.20)
2026-03-28 01:29 | $66,173.32  ($-42.94)
2026-03-28 01:34 | $66,228.23  (+$54.91)
2026-03-28 01:39 | $66,051.50  ($-176.73)

CURRENT PRICE: $66,084.28 at 2026-03-28 01:44
