Time             | Price
2026-03-28 03:59 | $66,167.61
2026-03-28 04:04 | $66,167.65  (+$0.04)
2026-03-28 04:09 | $66,098.68  ($-68.97)
2026-03-28 04:14 | $66,081.76  ($-16.92)
2026-03-28 04:19 | $66,201.48  (+$119.72)
2026-03-28 04:24 | $66,230.62  (+$29.14)
2026-03-28 04:29 | $66,210.62  ($-20.00)
2026-03-28 04:34 | $66,241.84  (+$31.22)
2026-03-28 04:39 | $66,231.26  ($-10.58)
2026-03-28 04:44 | $66,209.20  ($-22.06)
2026-03-28 04:49 | $66,235.27  (+$26.07)
2026-03-28 04:54 | $66,241.08  (+$5.81)

CURRENT PRICE: $66,189.66 at 2026-03-28 04:59
