Time             | Price
2026-03-28 03:29 | $66,106.66
2026-03-28 03:34 | $66,116.69  (+$10.03)
2026-03-28 03:39 | $66,174.75  (+$58.06)
2026-03-28 03:44 | $66,179.75  (+$5.00)
2026-03-28 03:49 | $66,162.22  ($-17.53)
2026-03-28 03:54 | $66,168.28  (+$6.06)
2026-03-28 03:59 | $66,167.61  ($-0.67)
2026-03-28 04:04 | $66,167.65  (+$0.04)
2026-03-28 04:09 | $66,098.68  ($-68.97)
2026-03-28 04:14 | $66,081.76  ($-16.92)
2026-03-28 04:19 | $66,201.48  (+$119.72)
2026-03-28 04:24 | $66,230.62  (+$29.14)

CURRENT PRICE: $66,210.62 at 2026-03-28 04:29
